index,dpi_resolution,image_url_http,pixel_width,content_type,color,full_title,action,document_type,pixel_height,master_object_name,file_name,document_type_detail,background,cmg_acronym,image_url_https,orientation,Unnamed: 17,index,dpi_resolution,image_url_http,pixel_width,content_type,color,full_title,action,document_type,pixel_height,master_object_name,file_name,document_type_detail,background,cmg_acronym,image_url_https,orientation,Unnamed: 17,index,dpi_resolution,image_url_http,pixel_width,content_type,color,full_title,action,document_type,pixel_height,master_object_name,file_name,document_type_detail,background,cmg_acronym,image_url_https,orientation,Unnamed: 17,index,dpi_resolution,image_url_http,pixel_width,content_type,color,full_title,action,document_type,pixel_height,master_object_name,file_name,document_type_detail,background,cmg_acronym,image_url_https,orientation,Unnamed: 17,index,dpi_resolution,image_url_http,pixel_width,content_type,color,full_title,action,document_type,pixel_height,master_object_name,file_name,document_type_detail,background,cmg_acronym,image_url_https,orientation,Unnamed: 17,index,dpi_resolution,image_url_http,pixel_width,content_type,color,full_title,action,document_type,pixel_height,master_object_name,file_name,document_type_detail,background,cmg_acronym,image_url_https,orientation,Unnamed: 17
1,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,2965,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1999,c07973340,c07973340.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,Center facing,,1,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,2965,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1999,c07973340,c07973340.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,Center facing,,1,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,2965,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1999,c07973340,c07973340.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,Center facing,,1,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,2965,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1999,c07973340,c07973340.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,Center facing,,1,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,2965,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1999,c07973340,c07973340.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,Center facing,,1,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,2965,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1999,c07973340,c07973340.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973340.png,Center facing,
2,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,2964,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,2072,c07973329,c07973329.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,Center facing,,2,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,2964,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,2072,c07973329,c07973329.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,Center facing,,2,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,2964,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,2072,c07973329,c07973329.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,Center facing,,2,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,2964,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,2072,c07973329,c07973329.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,Center facing,,2,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,2964,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,2072,c07973329,c07973329.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,Center facing,,2,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,2964,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,2072,c07973329,c07973329.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973329.jpg,Center facing,
3,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,2915,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1817,c07971954,c07971954.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,Right facing,,3,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1891,c07971943,c07971943.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,Right facing,,3,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1891,c07973300,c07973300.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,Left facing,,3,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1891,c07973300,c07973300.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,Left facing,,3,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1891,c07971943,c07971943.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,Right facing,,3,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1891,c07971943,c07971943.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,Right facing,
4,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1891,c07973300,c07973300.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,Left facing,,4,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,2915,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1817,c07971954,c07971954.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,Right facing,,4,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1891,c07971943,c07971943.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,Right facing,,4,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1891,c07971943,c07971943.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,Right facing,,4,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,2915,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1817,c07971954,c07971954.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,Right facing,,4,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,2915,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1817,c07971954,c07971954.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,Right facing,
5,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1891,c07971943,c07971943.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971943.jpg,Right facing,,5,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1891,c07973300,c07973300.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,Left facing,,5,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,2915,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1817,c07971954,c07971954.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,Right facing,,5,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,2915,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1817,c07971954,c07971954.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971954.png,Right facing,,5,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1891,c07973300,c07973300.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,Left facing,,5,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,2915,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1891,c07973300,c07973300.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973300.jpg,Left facing,
6,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,2914,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1818,c07973311,c07973311.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,Left facing,,6,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,2914,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1818,c07973311,c07973311.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,Left facing,,6,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,2914,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1818,c07973311,c07973311.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,Left facing,,6,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,2914,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1818,c07973311,c07973311.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,Left facing,,6,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,2914,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1818,c07973311,c07973311.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,Left facing,,6,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,2914,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1818,c07973311,c07973311.png,product image,White,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973311.png,Left facing,
7,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1246,c07971954,c07971971.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,Right facing,,7,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1246,c07973311,c07973328.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,Left facing,,7,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1246,c07971954,c07971971.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,Right facing,,7,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1246,c07971954,c07971971.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,Right facing,,7,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1246,c07973340,c07973357.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,Center facing,,7,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1246,c07973340,c07973357.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,Center facing,
8,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1246,c07973340,c07973357.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,Center facing,,8,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1246,c07973340,c07973357.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,Center facing,,8,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1246,c07973311,c07973328.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,Left facing,,8,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1246,c07973311,c07973328.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,Left facing,,8,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1246,c07971954,c07971971.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,Right facing,,8,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1246,c07971954,c07971971.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,Right facing,
9,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1246,c07973311,c07973328.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,Left facing,,9,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontRight",update,web standard graphic,1246,c07971954,c07971971.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07971971.png,Right facing,,9,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1246,c07973340,c07973357.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,Center facing,,9,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1246,c07973340,c07973357.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973357.png,Center facing,,9,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1246,c07973311,c07973328.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,Left facing,,9,72,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,1659,png,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1246,c07973311,c07973328.png,product image,Transparent,cmg518,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973328.png,Left facing,
10,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973309.jpg,1500,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1443,c07973300,c07973309.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973309.jpg,Left facing,,10,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973338.jpg,1500,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1420,c07973329,c07973338.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973338.jpg,Center facing,,10,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973338.jpg,1500,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1420,c07973329,c07973338.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973338.jpg,Center facing,,10,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973309.jpg,1500,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC FrontLeft",update,web standard graphic,1443,c07973300,c07973309.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973309.jpg,Left facing,,10,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973338.jpg,1500,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1420,c07973329,c07973338.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973338.jpg,Center facing,,10,300,http://product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973338.jpg,1500,jpg,DarkAsh,"HP 250 G9, HP 255 G9 Notebook PC Front",update,web standard graphic,1420,c07973329,c07973338.jpg,product image,White,cmg115,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c07973338.jpg,Center facing,
